"","Location","Category","ID","Gap","tot.BA","mean.toler"
"1","Code Farm","Non-Gap",1,"Code Farm Non-Gap 1",40.5,4.44444444444444
"2","Code Farm","Non-Gap",2,"Code Farm Non-Gap 2",47.25,4.52380952380952
"3","Code Farm","Non-Gap",3,"Code Farm Non-Gap 3",38.25,4.17647058823529
"4","Code Farm","Non-Gap",4,"Code Farm Non-Gap 4",36,4.53125
"5","Field Research Station","Non-Gap",1,"Field Research Station Non-Gap 1",13.5,3.33333333333333
"6","Field Research Station","Non-Gap",2,"Field Research Station Non-Gap 2",31.5,3.32142857142857
"7","Field Research Station","Non-Gap",3,"Field Research Station Non-Gap 3",58.5,3.32692307692308
"8","Field Research Station","Non-Gap",4,"Field Research Station Non-Gap 4",40.5,3.33333333333333
"9","Five Points Forest","Non-Gap",1,"Five Points Forest Non-Gap 1",36,4.25
"10","Five Points Forest","Non-Gap",2,"Five Points Forest Non-Gap 2",51.75,4.26086956521739
"11","Five Points Forest","Non-Gap",3,"Five Points Forest Non-Gap 3",40.5,4.27777777777778
"12","Five Points Forest","Non-Gap",4,"Five Points Forest Non-Gap 4",40.5,3.94444444444444
"13","Meadowlily Woods","Non-Gap",1,"Meadowlily Woods Non-Gap 1",29.25,4.69230769230769
"14","Meadowlily Woods","Non-Gap",2,"Meadowlily Woods Non-Gap 2",38.25,4.20588235294118
"15","Meadowlily Woods","Non-Gap",3,"Meadowlily Woods Non-Gap 3",38.25,3
"16","Meadowlily Woods","Non-Gap",4,"Meadowlily Woods Non-Gap 4",40.5,4.16666666666667
"17","Medway Valley","Non-Gap",1,"Medway Valley Non-Gap 1",36,5
"18","Medway Valley","Non-Gap",2,"Medway Valley Non-Gap 2",42.75,4.71052631578947
"19","Medway Valley","Non-Gap",3,"Medway Valley Non-Gap 3",47.25,4.83333333333333
"20","Medway Valley","Non-Gap",4,"Medway Valley Non-Gap 4",33.75,4.73333333333333
"21","Westminster Ponds","Non-Gap",1,"Westminster Ponds Non-Gap 1",24.75,4.45454545454545
"22","Westminster Ponds","Non-Gap",2,"Westminster Ponds Non-Gap 2",27,4.875
"23","Westminster Ponds","Non-Gap",3,"Westminster Ponds Non-Gap 3",49.5,4.04545454545455
"24","Westminster Ponds","Non-Gap",4,"Westminster Ponds Non-Gap 4",49.5,3.22727272727273
