"","Location","Category","ID","richness","H","percentNN","percentB","Buckthorn"
"1","Code Farm","EAB Gap",1,2,0.500402423538188,0,0,0
"2","Code Farm","EAB Gap",2,3,0.964962923007428,0,0,0
"3","Code Farm","EAB Gap",3,2,0.693147180559945,0,0,0
"4","Code Farm","EAB Gap",4,3,1.09861228866811,0,0,0
"5","Code Farm","Non-Gap",1,3,0.735621939758795,12.5,12.5,10
"6","Code Farm","Non-Gap",2,2,0.500402423538188,0,0,0
"7","Code Farm","Non-Gap",3,3,0.916464885539471,0,0,0
"8","Code Farm","Non-Gap",4,2,0.673011667009257,0,0,0
"9","Code Farm","Other Gap",1,3,0.867563228481461,16.6666666666667,16.6666666666667,10
"10","Code Farm","Other Gap",2,1,0,0,0,0
"11","Code Farm","Other Gap",3,4,1.12692879480068,8.33333333333333,8.33333333333333,10
"12","Code Farm","Other Gap",4,2,0.693147180559945,0,0,0
"13","Field Research Station","EAB Gap",1,3,0.916464885539471,54.5454545454545,54.5454545454545,60
"14","Field Research Station","EAB Gap",2,4,1.12692879480068,50,50,60
"15","Field Research Station","EAB Gap",3,2,0.500402423538188,80,80,40
"16","Field Research Station","EAB Gap",4,4,1.00271826451752,66.6666666666667,66.6666666666667,60
"17","Field Research Station","Non-Gap",1,3,0.600166073159646,0,0,0
"18","Field Research Station","Non-Gap",2,4,1.38629436111989,25,25,10
"19","Field Research Station","Non-Gap",3,3,1.09861228866811,33.3333333333333,33.3333333333333,10
"20","Field Research Station","Non-Gap",4,3,1.09861228866811,0,0,0
"21","Field Research Station","Other Gap",1,3,0.735621939758795,0,0,0
"22","Field Research Station","Other Gap",2,3,1.09861228866811,33.3333333333333,33.3333333333333,10
"23","Field Research Station","Other Gap",3,4,1.38629436111989,25,25,10
"24","Field Research Station","Other Gap",4,4,1.38629436111989,25,25,10
"25","Five Points Forest","EAB Gap",1,5,1.3896811919839,9.09090909090909,9.09090909090909,10
"26","Five Points Forest","EAB Gap",2,3,0.964962923007428,11.1111111111111,11.1111111111111,10
"27","Five Points Forest","EAB Gap",3,3,0.916464885539471,54.5454545454545,54.5454545454545,60
