,Location,Category,Buckthorn,Edge.Distance,Fragment.Size,Percent.Tree,Shade.Tolerance.Site,PC1
4,Private 1,EAB Gap,55.0,62.0,11.0,93,3.3,-2.2
5,Private 1,Other Gap,7.5,60.3,11.0,43,3.3,-2.3
6,Private 1,Non-Gap,5.0,57.4,11.0,53,3.3,-2.2
1,Private 2,EAB Gap,0.0,35.5,37.0,63,4.4,-1.0
2,Private 2,Other Gap,5.0,102.3,37.0,60,4.4,-0.9
3,Private 2,Non-Gap,2.5,75.9,37.0,83,4.4,-0.9
7,Private 3,EAB Gap,30.0,191.5,174.0,83,4.2,0.8
8,Private 3,Other Gap,7.5,186.7,174.0,60,4.2,0.2
9,Private 3,Non-Gap,2.5,200.6,174.0,60,4.2,0.3
16,Public 1,EAB Gap,47.5,55.8,199.0,115,4.2,-0.3
17,Public 1,Other Gap,37.5,90.3,199.0,115,4.2,0.5
18,Public 1,Non-Gap,10.0,80.7,199.0,105,4.2,-0.2
13,Public 2,EAB Gap,17.5,110.3,230.0,100,4.8,1.2
14,Public 2,Other Gap,27.5,195.4,230.0,70,4.8,1.0
15,Public 2,Non-Gap,0.0,135.8,230.0,70,4.8,1.3
10,Public 3,EAB Gap,7.5,257.1,324.0,63,4.0,1.3
11,Public 3,Other Gap,2.5,255.7,324.0,85,4.0,1.5
12,Public 3,Non-Gap,0.0,248.0,324.0,68,4.0,1.9
